Date,Time,State,PuFrom,Address,Street
2014.07.06,14:30,NY                                                                                                                           ,MANHATTAN,50,MURRAY ST           
2014.07.04,7:15,NY                                                                                                                           ,MANHATTAN,143,AVENUE B            
2014.07.05,5:45,NY                                                                                                                           ,MANHATTAN,125,CHRISTOPHER ST      
2014.07.06,4:30,NY                                                                                                                           ,MANHATTAN,217,E 7 ST              
2014.07.05,7:45,NY                                                                                                                           ,MANHATTAN,521,W 26 ST             
2014.07.06,8:45,NY                                                                                                                           ,MANHATTAN,110,BLEECKER ST         
2014.07.06,6:45,NY                                                                                                                           ,MANHATTAN,220,E 57 St             
2014.07.06,11:30,NY                                                                                                                           ,MANHATTAN,440,E 20 ST             
2014.07.03,12:00,NY                                                                                                                           ,QUEENS,2204,119 ST              
2014.07.03,13:00,NY                                                                                                                           ,MANHATTAN,286,E 10 ST             
2014.07.09,15:42,EWR US AIR OUTSIDE DOOR #8                                                                                                   ,EWR,      ,                    
2014.07.03,5:30,NY                                                                                                                           ,MANHATTAN,85,WEST ST             
2014.07.04,9:45,NY                                                                                                                           ,MANHATTAN,99,BATTERY PL          
2014.07.09,4:15,NY                                                                                                                           ,MANHATTAN,613,6 AVE               
2014.07.15,5:45,NY                                                                                                                           ,MANHATTAN,27,BETHUNE ST          
2014.07.11,4:15,NY                                                                                                                           ,MANHATTAN,117,SULLIVAN ST         
2014.07.04,6:15,NY                                                                                                                           ,MANHATTAN,411,E 57 St             
2014.07.12,4:00,NY                                                                                                                           ,MANHATTAN,200,2 AVE               
2014.07.10,8:00,NY                                                                                                                           ,QUEENS,27110,GRAND CENTRAL PKWY  
2014.07.16,6:00,NY                                                                                                                           ,MANHATTAN,9,STUYVESANT OVAL     
2014.07.07,9:00,NY                                                                                                                           ,MANHATTAN,102,1 AVE               
2014.07.07,6:50,JFK JET BLUE DOMESTIC PICK UP AREA 3                                                                                         ,,      ,                    
2014.07.10,6:00,NY                                                                                                                           ,MANHATTAN,218,AVENUE A            
2014.07.12,6:35,EWR UNITED PICK-UP AREA 3                                                                                                    ,,      ,                    
2014.07.09,8:02,EWR UNITED TERM C  AREA 3                                                                                                    ,,      ,                    
2014.07.13,7:00,NY                                                                                                                           ,MANHATTAN,113,CEDAR ST            
2014.08.09,7:45,NY                                                                                                                           ,MANHATTAN,103,WAVERLY PL          
2014.07.10,4:00,NY                                                                                                                           ,MANHATTAN,225,E 26 ST             
2014.07.15,4:00,NY                                                                                                                           ,MANHATTAN,451,BROOME ST           
2014.07.18,6:00,NY                                                                                                                           ,MANHATTAN,85,8 AVE               
2014.07.03,4:00,NY                                                                                                                           ,MANHATTAN,231,W 26 ST             
2014.07.16,4:45,NY                                                                                                                           ,MANHATTAN,30,E 30 ST             
2014.07.07,5:15,NY                                                                                                                           ,MANHATTAN,10,RUTGERS ST          
2014.07.09,17:00,NY                                                                                                                           ,MANHATTAN,130,5 AVE               
2014.07.09,13:15,NY                                                                                                                           ,MANHATTAN,200,W 72 ST             
2014.07.03,9:30,NY                                                                                                                           ,QUEENS,4615,CENTER BLVD         
2014.07.04,5:00,NY                                                                                                                           ,MANHATTAN,82,IRVING PL           
2014.07.07,4:15,NY                                                                                                                           ,MANHATTAN,244,E 21 St             
2014.07.14,5:00,NY                                                                                                                           ,MANHATTAN,36,GRAMERCY PK E       
2014.07.13,5:30,NY                                                                                                                           ,MANHATTAN,505,GREENWICH ST        
2014.07.13,7:46,JFK United Domestic Pickup Area A                                                                                            ,JFK,      ,                    
2014.07.18,8:45,NY                                                                                                                           ,QUEENS,2710,PARSONS BLVD        
2014.07.14,3:45,NY                                                                                                                           ,MANHATTAN,360,W 15 ST             
2014.07.14,7:30,NY                                                                                                                           ,MANHATTAN,666,WEST END AVE        
2014.07.01,16:49,NY                                                                                                                           ,MANHATTAN,151,W 34 ST             
2014.07.09,6:30,NY                                                                                                                           ,MANHATTAN,50,MURRAY ST           
2014.07.11,5:15,NY                                                                                                                           ,MANHATTAN,70,LITTLE WEST ST      
2014.07.21,8:30,JFK DELTA TERM 2  CURBSIDE                                                                                                   ,,      ,                    
2014.07.21,7:15,NY                                                                                                                           ,MANHATTAN,39,E 29 ST             
2014.07.21,5:00,NY                                                                                                                           ,MANHATTAN,353,E 72 ST             
2014.07.21,6:00,NY                                                                                                                           ,MANHATTAN,115,ELIZABETH ST        
2014.07.22,6:15,NY                                                                                                                           ,MANHATTAN,615,E 14 ST             
2014.07.21,4:15,NY                                                                                                                           ,MANHATTAN,184,THOMPSON ST         
2014.07.20,6:45,NY                                                                                                                           ,MANHATTAN,1,ASTOR PL            
2014.07.15,9:30,NY                                                                                                                           ,QUEENS,2145,44 DR               
2014.07.15,7:00,NY                                                                                                                           ,MANHATTAN,77,BLEECKER ST         
2014.07.24,4:15,NY                                                                                                                           ,MANHATTAN,26,GRAND ST            
2014.07.16,7:30,NY                                                                                                                           ,MANHATTAN,50,BATTERY PL          
2014.07.19,4:15,NY                                                                                                                           ,MANHATTAN,60,E 8 ST              
2014.07.18,6:45,NY                                                                                                                           ,MANHATTAN,312,11 AVE              
2014.07.25,7:00,NY                                                                                                                           ,MANHATTAN,8,STONE ST            
2014.07.14,6:01,EWR UNITED PICK-UP AREA 3                                                                                                    ,,      ,                    
2014.07.23,6:00,NY                                                                                                                           ,MANHATTAN,131,PERRY ST            
2014.07.28,11:00,NY                                                                                                                           ,MANHATTAN,4,E 95 ST             
2014.07.17,5:15,NY                                                                                                                           ,MANHATTAN,141,2 AVE               
2014.07.30,6:30,NY                                                                                                                           ,MANHATTAN,131,MADISON AVE         
2014.07.23,4:15,NY                                                                                                                           ,MANHATTAN,560,W 43 ST             
2014.07.25,4:00,NY                                                                                                                           ,MANHATTAN,122,MACDOUGAL ST        
2014.07.03,7:15,NY                                                                                                                           ,MANHATTAN,95,PERRY ST            
2014.07.17,4:00,NY                                                                                                                           ,MANHATTAN,21,E 10 ST             
2014.07.29,6:45,NY                                                                                                                           ,MANHATTAN,120,E 34 ST             
2014.07.29,5:07,EWR UNITED PICK-UP AREA 3                                                                                                    ,,      ,                    
2014.07.19,6:45,NY                                                                                                                           ,MANHATTAN,313,E 9 ST              
2014.07.26,4:00,NY                                                                                                                           ,MANHATTAN,450,W 17 St             
2014.07.26,5:30,NY                                                                                                                           ,Manhattan                               ,57,ANN ST              
2014.08.07,4:00,NY                                                                                                                           ,MANHATTAN,111,E 48 ST             
2014.07.12,9:15,NY                                                                                                                           ,MANHATTAN,410,E 92 ST             
2014.07.28,5:00,NY                                                                                                                           ,QUEENS,2711,CORP KENNEDY ST     
2014.07.22,4:15,NY                                                                                                                           ,MANHATTAN,250,W 50 ST             
2014.08.04,9:30,NY                                                                                                                           ,MANHATTAN,1335,6 AVE               
2014.07.16,8:15,NY                                                                                                                           ,MANHATTAN,167,E 61 ST             
2014.07.23,9:00,NY                                                                                                                           ,MANHATTAN,345,W 58 ST             
2014.07.28,9:45,NY                                                                                                                           ,MANHATTAN,355,8 AVE               
2014.07.18,4:15,NY                                                                                                                           ,MANHATTAN,57,E 57 ST             
2014.07.24,6:00,NY                                                                                                                           ,MANHATTAN,111,BARROW ST           
2014.07.23,7:28,JFK DELTA TERM 2  CURBSIDE                                                                                                   ,,      ,                    
2014.07.22,8:00,JFK AMERICAN DOMESTIC Pickup Area C                                                                                          ,,      ,                    
2014.08.02,4:30,NY                                                                                                                           ,MANHATTAN,201,E 2 ST              
2014.07.27,11:00,NY                                                                                                                           ,QUEENS,475,48 AVE              
2014.07.25,5:30,NY                                                                                                                           ,MANHATTAN,260,W 26 ST             
2014.08.01,4:45,NY                                                                                                                           ,MANHATTAN,200,RECTOR PL           
2014.07.31,4:00,NY                                                                                                                           ,MANHATTAN,21,WEST ST             
2014.07.30,8:45,NY                                                                                                                           ,QUEENS,15846,76 AVE              
2014.08.03,5:45,NY                                                                                                                           ,MANHATTAN,142,WEST END AVE        
2014.07.29,4:15,NY                                                                                                                           ,MANHATTAN,303,BROOME ST           
2014.07.28,4:00,NY                                                                                                                           ,MANHATTAN,118,W 73 ST             
2014.08.11,5:45,NY                                                                                                                           ,MANHATTAN,116,W 14 ST             
2014.08.09,4:47,NY                                                                                                                           ,MANHATTAN,321,W 16 ST             
2014.07.28,8:05,EWR UNITED TERM A DOOR 2                                                                                                     ,,      ,                    
2014.08.10,4:15,NY                                                                                                                           ,Manhattan                               ,55,W 25 ST             
2014.08.08,7:45,NY                                                                                                                           ,MANHATTAN,130,W 15 ST             
2014.08.01,6:00,NY                                                                                                                           ,MANHATTAN,125,E 50 ST             
2014.08.02,6:30,NY                                                                                                                           ,MANHATTAN,310,WEST BROADWAY       
2014.08.02,8:07,JFK AMERICAN DOMESTIC Pickup Area C                                                                                          ,,      ,                    
2014.08.08,5:15,NY                                                                                                                           ,MANHATTAN,661,WASHINGTON ST       
2014.08.13,9:45,NY                                                                                                                           ,MANHATTAN,221,W 20 ST             
2014.08.12,7:00,NY                                                                                                                           ,MANHATTAN,320,E 23 ST             
2014.08.09,4:00,NY                                                                                                                           ,MANHATTAN,129,3 Ave               
2014.08.15,6:30,NY                                                                                                                           ,MANHATTAN,9,CROSBY ST           
2014.07.28,6:15,NY                                                                                                                           ,MANHATTAN,380,RECTOR PL           
2014.07.27,5:30,NY                                                                                                                           ,MANHATTAN,504,GRAND ST            
2014.08.12,4:00,NY                                                                                                                           ,MANHATTAN,525,W 49 ST             
2014.08.12,6:15,NY                                                                                                                           ,MANHATTAN,1,ASTOR PL            
2014.07.31,6:00,NY                                                                                                                           ,MANHATTAN,100,E 31 ST             
2014.08.11,4:45,NY                                                                                                                           ,MANHATTAN,49,KING ST             
2014.08.04,4:15,NY                                                                                                                           ,MANHATTAN,344,W 23 ST             
2014.08.10,12:15,NY                                                                                                                           ,MANHATTAN,10,WATERSIDE PLAZA     
2014.08.14,6:15,NY                                                                                                                           ,MANHATTAN,303,W 21 ST             
2014.08.15,8:00,NY                                                                                                                           ,QUEENS,405,MAIN ST             
2014.08.15,3:45,NY                                                                                                                           ,MANHATTAN,4,PETER COOPER RD     
2014.08.06,7:30,NY                                                                                                                           ,MANHATTAN,402,E 65 ST             
2014.08.07,5:30,NY                                                                                                                           ,MANHATTAN,21,WEST ST             
2014.08.04,10:00,NY                                                                                                                           ,MANHATTAN,511,LEXINGTON AVE       
2014.08.04,7:48,LGA DELTA Pick-up Island                                                                                                     ,,      ,                    
2014.08.12,8:09,LGA AIR CANADA Pick-up Island                                                                                                ,,      ,                    
2014.08.14,4:00,NY                                                                                                                           ,MANHATTAN,245,E 63 ST             
2014.08.04,5:15,NY                                                                                                                           ,MANHATTAN,350,W 37 ST             
2014.08.04,6:15,NY                                                                                                                           ,MANHATTAN,201,E 31 ST             
2014.08.14,8:09,JFK JET BLUE DOMESTIC PICK UP AREA 3                                                                                         ,,      ,                    
2014.08.10,5:30,JFK Us Air Pickup Area A                                                                                                     ,JFK,      ,                    
2014.08.06,4:15,NY                                                                                                                           ,MANHATTAN,250,E HOUSTON ST        
2014.08.25,5:30,NY                                                                                                                           ,MANHATTAN,179,CHRISTOPHER ST      
2014.08.19,5:30,NY                                                                                                                           ,MANHATTAN,575,Grand St            
2014.08.16,4:00,NY                                                                                                                           ,MANHATTAN,43,AVENUE C            
2014.08.13,4:00,NY                                                                                                                           ,MANHATTAN,95,CHRISTOPHER ST      
2014.08.22,4:00,NY                                                                                                                           ,MANHATTAN,145,E 39 ST             
2014.08.11,4:15,NY                                                                                                                           ,MANHATTAN,247,CENTRE ST           
2014.08.19,3:45,NY                                                                                                                           ,MANHATTAN,170,E 3 ST              
2014.08.19,8:15,NY                                                                                                                           ,MANHATTAN,131,CHARLES ST          
2014.08.03,8:30,NY                                                                                                                           ,MANHATTAN,148,CHAMBERS ST         
2014.08.17,5:15,NY                                                                                                                           ,MANHATTAN,533,CANAL ST            
2014.08.17,7:00,NY                                                                                                                           ,MANHATTAN,54,MORTON ST           
2014.08.17,4:00,NY                                                                                                                           ,MANHATTAN,247,WADSWORTH AVE       
2014.08.17,9:00,NY                                                                                                                           ,MANHATTAN,200,RECTOR PL           
2014.07.31,7:30,NY                                                                                                                           ,MANHATTAN,92,E 7 ST              
2014.08.01,4:00,NY                                                                                                                           ,MANHATTAN,260,W 54 ST             
2014.08.23,12:30,NY                                                                                                                           ,MANHATTAN,330,1 AVE               
2014.08.13,6:30,NY                                                                                                                           ,MANHATTAN,145,E 15 ST             
2014.08.22,4:46,NY                                                                                                                           ,MANHATTAN,19,E 34 ST             
2014.08.24,9:45,NY                                                                                                                           ,MANHATTAN,70,E 10 ST             
2014.08.28,9:45,NY                                                                                                                           ,MANHATTAN,270,PARK AVE            
2014.08.24,5:50,NY                                                                                                                           ,MANHATTAN,29,BROADWAY            
2014.08.06,7:00,NY                                                                                                                           ,MANHATTAN,167,PERRY ST            
2014.08.29,6:15,NY                                                                                                                           ,MANHATTAN,400,CHAMBERS ST         
2014.08.22,8:30,NY                                                                                                                           ,MANHATTAN,410,E 9 ST              
2014.08.03,4:00,NY                                                                                                                           ,MANHATTAN,339,E 33 ST             
2014.08.18,5:30,NY                                                                                                                           ,MANHATTAN,60,E  8 ST             
2014.08.23,6:00,JFK DELTA TERM 4  P/U AREA C                                                                                                 ,,      ,                    
2014.08.24,4:00,NY                                                                                                                           ,MANHATTAN,200,W 15 ST             
2014.08.31,6:30,NY                                                                                                                           ,MANHATTAN,301,PARK AVE            
2014.08.30,3:30,NY                                                                                                                           ,MANHATTAN,20,WATERSIDE PLAZA     
2014.08.19,7:15,NY                                                                                                                           ,MANHATTAN,325,NORTH END AVE       
2014.08.25,8:30,NY                                                                                                                           ,MANHATTAN,15,W 11 ST             
2014.08.25,4:15,NY                                                                                                                           ,MANHATTAN,361,E 10 ST             
2014.08.22,7:45,NY                                                                                                                           ,MANHATTAN,99,BATTERY PL          
2014.08.10,9:30,NY                                                                                                                           ,MANHATTAN,375,SOUTH END AVE       
2014.08.18,3:45,NY                                                                                                                           ,MANHATTAN,170,E 112 ST            
2014.08.18,6:45,NY                                                                                                                           ,MANHATTAN,435,E 14 ST             
2014.08.30,7:00,NY                                                                                                                           ,MANHATTAN,400,E 56 ST             
2014.08.15,5:00,NY                                                                                                                           ,MANHATTAN,201,E 28 ST             
2014.08.21,4:00,NY                                                                                                                           ,MANHATTAN,309,W 57 ST             
2014.08.29,5:00,NY                                                                                                                           ,MANHATTAN,312,11 AVE              
2014.08.18,4:45,NY                                                                                                                           ,MANHATTAN,40,HARRISON ST         
2014.08.16,7:15,NY                                                                                                                           ,MANHATTAN,111,Worth St            
2014.08.08,4:00,NY                                                                                                                           ,MANHATTAN,332,E 15 ST             
2014.08.26,6:45,NY                                                                                                                           ,MANHATTAN,182,DUANE ST            
2014.08.30,9:30,NY                                                                                                                           ,MANHATTAN,124,W HOUSTON ST        
2014.09.14,9:24,NY                                                                                                                           ,MANHATTAN,790,12 AVE              
2014.08.16,4:52,NY                                                                                                                           ,MANHATTAN,50,VANDERBILT AVE      
2014.08.31,9:30,NY                                                                                                                           ,MANHATTAN,200,SPRING ST           
2014.08.31,11:00,NY                                                                                                                           ,MANHATTAN,27,W 11 St             
2014.08.28,4:00,NY                                                                                                                           ,MANHATTAN,300,W 55 ST             
2014.08.28,7:14,JFK JET BLUE DOMESTIC PICK UP AREA 3                                                                                         ,,      ,                    
2014.08.28,6:15,NY                                                                                                                           ,MANHATTAN,225,E 4 ST              
2014.09.07,7:52,JFK EL AL Pickup Area C                                                                                                      ,,      ,                    
2014.08.20,5:30,NY                                                                                                                           ,MANHATTAN,220,E 65 ST             
2014.08.27,4:15,NY                                                                                                                           ,MANHATTAN,210,Sullivan St         
2014.08.27,6:15,NY                                                                                                                           ,MANHATTAN,520,W 43 ST             
2014.08.29,7:30,NY                                                                                                                           ,MANHATTAN,60,W 23 ST             
2014.08.23,10:15,NY                                                                                                                           ,MANHATTAN,375,SOUTH END AVE       
2014.08.30,6:00,NY                                                                                                                           ,MANHATTAN,110,BLEECKER ST         
2014.08.30,4:45,NY                                                                                                                           ,MANHATTAN,395,SOUTH END AVE       
2014.09.03,7:30,NY                                                                                                                           ,MANHATTAN,80,5 AVE               
2014.09.03,4:15,NY                                                                                                                           ,MANHATTAN,280,PARK AVE S          
2014.08.20,11:15,NY                                                                                                                           ,QUEENS,3138,38 St               
2014.09.07,4:37,NY                                                                                                                           ,MANHATTAN,320,PEARL ST            
2014.09.02,3:45,NY                                                                                                                           ,MANHATTAN,120,E 87 ST             
2014.09.02,6:15,NY                                                                                                                           ,MANHATTAN,100,MAIDEN LA           
2014.09.11,7:45,NY                                                                                                                           ,MANHATTAN,145,E 27 ST             
2014.09.11,4:15,NY                                                                                                                           ,MANHATTAN,433,W 43 ST             
2014.09.09,7:00,NY                                                                                                                           ,QUEENS,3044,29 ST               
2014.09.01,8:15,NY                                                                                                                           ,MANHATTAN,811,7 AVE               
2014.08.23,9:25,NY                                                                                                                           ,MANHATTAN,116,E 30 ST             
2014.08.23,13:30,NY                                                                                                                           ,MANHATTAN,245,E 124 ST            
2014.08.25,6:20,JFK DELTA TERM 2  CURBSIDE                                                                                                   ,,      ,                    
2014.09.01,9:30,NY                                                                                                                           ,MANHATTAN,88,LEONARD ST          
2014.09.01,4:15,NY                                                                                                                           ,MANHATTAN,42,W 73 ST             
2014.09.01,5:59,JFK JET BLUE DOMESTIC PICK UP AREA 3                                                                                         ,,      ,                    
2014.08.23,4:00,NY                                                                                                                           ,MANHATTAN,215,W 88 ST             
2014.09.11,5:45,NY                                                                                                                           ,MANHATTAN,236,W 15 ST             
2014.08.21,6:30,NY                                                                                                                           ,MANHATTAN,1,CHRISTOPHER ST      
2014.08.31,4:30,NY                                                                                                                           ,QUEENS,5012,VERNON BLVD         
2014.09.08,6:45,NY                                                                                                                           ,MANHATTAN,28,E 22 ST             
2014.09.08,4:00,NY                                                                                                                           ,MANHATTAN,90,WILLIAM ST          
2014.09.09,4:00,NY                                                                                                                           ,MANHATTAN,183,W 10 ST             
2014.09.05,8:30,NY                                                                                                                           ,MANHATTAN,440,E 23 ST             
2014.09.15,4:15,NY                                                                                                                           ,MANHATTAN,309,E 49 ST             
2014.09.05,6:15,NY                                                                                                                           ,MANHATTAN,155,E 29 ST             
2014.09.06,4:15,NY                                                                                                                           ,MANHATTAN,333,E 34 ST             
2014.09.04,4:15,NY                                                                                                                           ,MANHATTAN,154,W 27 ST             
2014.08.26,4:15,NY                                                                                                                           ,MANHATTAN,2025,BROADWAY            
2014.08.29,4:00,NY                                                                                                                           ,MANHATTAN,21,E 52 ST             
2014.09.02,5:00,NY                                                                                                                           ,MANHATTAN,312,11 AVE              
2014.09.04,8:04,EWR UNITED DOOR 2                                                                                                            ,,      ,                    
2014.09.07,7:00,NY                                                                                                                           ,MANHATTAN,30,E 9 ST              
2014.09.09,5:45,NY                                                                                                                           ,MANHATTAN                               ,200,RECTOR PL           
2014.09.07,8:50,NY                                                                                                                           ,MANHATTAN,641,12 AVE              
2014.09.13,6:30,NY                                                                                                                           ,QUEENS,1040,46 RD               
2014.09.15,7:05,JFK JET BLUE DOMESTIC PICK UP AREA 3                                                                                         ,,      ,                    